,G_loss,D_loss,D_fake,D_real,GP,val_G_loss,val_D_loss,val_D_fake,val_D_real,val_GP
13,53922.33946450241,-106193.39210869872,-53930.154148968446,-52292.07675970874,28.838799978459924,62470.163342927626,103.8213747258772,-62465.89340049343,62569.7147752193,0.0
14,62738.30188106798,-123309.82956122613,-62747.3442657767,-60590.154080703884,27.6687852544692,72025.9294819079,398.40234375,-72023.74513432018,72422.14747807018,0.0
15,64118.93651395631,-127158.30923566356,-64113.03869462985,-67802.64523854673,4757.374697513024,80225.16988760965,-1235.6023163377192,-80225.72327302633,78990.12095668861,0.0
16,78463.00383040048,-154696.35410466653,-78472.93181887138,-76261.41439623786,37.99211044265228,90161.93270285089,335.8287417763158,-90155.86938048246,90491.69812225876,0.0
17,88748.68291110436,-174572.5692288232,-88759.19470570386,-85826.5111878034,13.13666468407344,101100.9137883772,330.13521107456137,-101100.39597039473,101430.5311814693,0.0
18,97522.87132129856,-179473.92502224102,-97551.07883040047,-92213.73254726373,10290.886355423232,104670.09457236844,-1487.3779468201749,-104648.02412280704,103160.64617598684,0.0
19,104248.06553398057,-207773.0581361641,-104261.9440003034,-103957.53252427184,446.41838841114236,119544.7732319079,-45.51082785087719,-119556.46148574562,119510.95065789473,0.0
20,115137.72022906554,-227720.1922114048,-115146.62805673546,-112614.34701911408,40.78286444469563,128712.89617598685,227.3849369517544,-128722.37239583331,128949.75733278508,0.0
21,125498.26638349515,-248430.3725155155,-125509.4020024272,-122943.68937348301,22.71886039474636,140627.75630482455,180.2945449561404,-140627.80290570177,140808.0974506579,0.0
22,137981.7411256068,-272913.22585877724,-137994.77047936892,-134941.28944174756,22.83406233926421,154407.95668859652,99.21258223684212,-154413.33566337722,154512.54824561405,0.0
23,148526.1608009709,-276217.4034419309,-148522.23420813106,-142555.8732979858,14860.704064185877,160408.11088267545,-1179.233552631579,-160407.31578947368,159228.0822368421,0.0
24,155456.7306583738,-311597.2524219846,-155472.5734223301,-156787.06955400485,662.3905543503253,177788.9239309211,-1176.8710252192982,-177802.29769736843,176625.42667214913,0.0
25,169775.86620145632,-336895.4350566234,-169787.69293082526,-167175.01691444175,67.27478864354995,189238.3669133772,229.93366228070167,-189244.26233552632,189474.19599780702,0.0
26,182497.18575546122,-362113.1625130153,-182510.53944174762,-179631.766717233,29.143645965242854,203106.15720942983,484.78536184210526,-203103.42297149124,203588.20833333328,0.0
27,197451.47360436886,-391449.3145531923,-197467.2391080097,-194023.51682342234,41.441378239752034,219968.00315241228,120.77192982456141,-219983.9239309211,220104.6958607456,0.0
28,212233.2967991505,-404612.5274145128,-212213.2170964805,-204630.55266136985,12231.24234333779,233772.5378289473,2481.6766721491226,-233778.75,236260.42667214913,0.0
29,225217.0840412621,-447116.0944291235,-225232.25602245145,-222095.67032766988,211.83192099784185,248858.37198464913,1422.335663377193,-248852.6332236842,250274.9688870614,0.0
30,239181.7183707525,-474986.0210209263,-239196.1727851941,-235824.15676577672,34.308530044555674,263982.2686403509,733.686677631579,-263977.24040570174,264710.92708333326,0.0
31,255331.15109223305,-506888.284838995,-255347.95271541266,-251593.9261832524,53.59405967008721,281696.9344846491,143.31304824561403,-281693.8404605263,281837.1535087719,0.0
32,273687.6527609223,-542632.240489432,-273705.4568567961,-269024.5096480583,97.72601542241364,300982.26398026315,474.6186951754385,-300971.61513157893,301446.23382675444,0.0
33,285610.9276395631,-426211.1564035471,-285652.1188106796,-177488.03601358653,36928.998420719035,312288.5285087719,4046.230811403509,-312290.9035087719,316337.13432017545,0.0
34,297764.86483616504,-591315.3992460603,-297777.65282160195,-293979.7149878641,441.9685634057499,325599.06825657893,1871.1000548245613,-325616.3396381579,327487.4396929825,0.0
