,G_loss,D_loss,D_fake,D_real,GP,val_G_loss,val_D_loss,val_D_fake,val_D_real,val_GP
17,281.8720120920718,-1.5233988602039883,-281.63690994410837,279.8538898060624,0.2596212778421282,274.27255784419543,-1.6778002287212168,-274.227295189573,272.54949496085186,0.0
18,271.48058726486653,-1.5108909087888536,-271.3000171253982,269.5434395799359,0.2456866366734493,268.42273484614856,-4.40213119774534,-268.4195013213576,264.01737012361224,0.0
19,263.0222556104938,-1.453038490552781,-262.7768487726601,261.09274988267026,0.2310603994369796,260.6283009847005,-2.309606451737253,-260.75340833162005,258.4438018798828,0.0
20,255.61201906667168,-1.5306047873336424,-255.3719317686211,253.60196977633882,0.2393572049486695,253.77089945475257,-3.89945716188665,-253.95219515081038,250.0527379889237,0.0
21,248.55816020780398,-1.4673415557924403,-248.2896816957344,246.59622706441047,0.2261130755315128,245.47189223975465,-1.3880012913754112,-245.41015517920778,244.02215388783242,0.0
22,243.18039962620412,-1.4576245165023118,-243.02617467491368,241.3529261172396,0.21562404117176254,239.8380299618369,-1.4157542178505345,-239.8764475772256,238.460693359375,0.0
23,236.6033005945891,-1.4560590107536433,-236.37242175352227,234.70234366111384,0.21401908165476846,233.5068506608929,-2.115425779108416,-233.63991921408126,231.52449343497287,0.0
24,230.49980548747536,-1.4112326612352455,-230.27237289576854,228.66195340943568,0.1991868250976199,227.51911618416767,-1.3998478671960664,-227.3985080384372,225.9986601712411,0.0
25,226.44299605286238,-1.3569668059716526,-226.28343962141608,224.74281943608258,0.18365337936189569,226.3026762845224,-2.5745255319695723,-226.21693179481912,223.6424062628495,0.0
26,221.36642900485438,-1.3185857812033115,-221.12436758985802,219.6188722184561,0.18690959019857706,218.58120540150426,-2.1132046883566336,-218.5582132172166,216.44500852886003,0.0
27,217.83349876033446,-1.3297169859367377,-217.61945516345568,216.1017453388103,0.18799283870866576,214.17354316042184,-1.0900019595497532,-214.20224721808185,213.1122452585321,0.0
28,213.5352100261207,-1.3053077655546006,-213.31299571805786,211.82728787024044,0.18040008226282966,212.15111742521583,-3.0234448616964773,-212.15071520889006,209.12727034719367,0.0
29,209.8104600628603,-1.291228882100397,-209.63499415129127,208.17499725934368,0.16876800984722898,210.23152388187881,-1.9172879938493688,-210.22146097819007,208.30417298434074,0.0
30,205.97240055417552,-1.251828568410671,-205.7707810929678,204.34630617308383,0.17264635147327936,201.69893325002568,0.01510231955009594,-201.87432352701825,201.8894258465683,0.0
31,202.14903170391202,-1.2381609432055678,-201.9063325159758,200.5021932213052,0.16597835146505566,202.27045949300134,-2.3037105359529195,-202.23834429289158,199.9346337569387,0.0
32,199.1432741776253,-1.262029086000928,-198.8887995599543,197.45697482210917,0.16979565184418727,193.94174569113213,0.11605634187397205,-193.7585537559108,193.8746100977848,0.0
33,195.7092046645081,-1.2092660370635466,-195.5077879229796,194.13944220681796,0.15907967909808876,192.6517292491177,-1.4985158819901316,-192.6679383662709,191.1694224842808,0.0
34,191.71310876642616,-1.2252297327175592,-191.48268579279335,190.09098301859734,0.16647304147843597,190.81360037284986,-1.496107536449767,-190.89502461751303,189.39891708106325,0.0
